,price,property_type,subproperty_type,locality,construction_year,total_area_sqm,nbr_bedrooms,fl_furnished,fl_open_fire,terrace_sqm,garden_sqm,fl_swimming_pool,fl_floodzone,primary_energy_consumption_sqm,heating_type,fl_double_glazing,cadastral_income,kitchen_type,state_of_building
12861,259000.0,APARTMENT,APARTMENT,Antwerp,1977.0,86.0,2.0,0,0,0.0,0.0,0,0,128.0,GAS,0,1081.021066423905,3.50796147837689,4.032376844882357
12862,580000.0,APARTMENT,PENTHOUSE,Brussels,2024.0,91.0,2.0,0,0,6.0,0.0,0,0,30.0,GAS,1,1525.2468008903127,5.0,6.0
12863,389000.0,HOUSE,HOUSE,Leuven,2023.0,132.0,2.0,0,0,0.0,720.0,0,1,18.0,GAS,1,1260.9255694945505,3.548214677532943,4.0
12864,320000.0,APARTMENT,APARTMENT,Brussels,1974.0,84.0,1.0,1,0,18.0,0.0,0,0,168.0,GAS,1,1165.4377947507462,5.0,6.0
12865,199900.0,APARTMENT,APARTMENT,Antwerp,1968.0,87.0,2.0,0,0,9.0,0.0,0,0,171.0,FUELOIL,1,949.0,3.4787082496752784,4.00752792360076
12866,165000.0,HOUSE,HOUSE,Kortrijk,1938.0,128.0,2.0,0,0,0.0,0.0,0,0,462.0,GAS,1,418.0,2.6335898460299036,1.0
12867,325000.0,APARTMENT,APARTMENT,Sint-Niklaas,1976.0,135.0,3.0,0,0,0.0,0.0,0,0,136.0,GAS,1,1172.3571987729683,3.2474124252244807,3.0
12868,395000.0,APARTMENT,APARTMENT,Thuin,2012.0,150.0,3.0,0,0,20.0,0.0,0,1,193.0,GAS,1,1226.0,3.0,6.0
12869,355000.0,APARTMENT,APARTMENT,Liège,2024.0,101.0,2.0,0,0,33.0,0.0,0,1,45.0,GAS,1,1213.8736225419407,3.0,3.709591297011986
12870,399000.0,HOUSE,HOUSE,Liège,1874.0,700.0,2.0,0,0,0.0,0.0,0,0,308.0,FUELOIL,0,1561.0,4.0,4.0
12871,350000.0,HOUSE,HOUSE,Nivelles,1976.0,150.0,4.0,0,1,0.0,300.0,0,1,417.0,FUELOIL,0,1417.0,4.0,3.0
12872,1445000.0,APARTMENT,PENTHOUSE,Brussels,2016.0,175.0,3.0,0,0,174.0,0.0,0,0,55.0,GAS,1,2722.3036866848192,1.0,6.0
12873,395000.0,HOUSE,HOUSE,Gent,1937.0,232.0,4.0,0,0,0.0,0.0,0,0,618.0,GAS,1,565.0,3.5503465805401184,4.0
12874,369000.0,HOUSE,HOUSE,Brugge,1967.0,243.0,5.0,0,0,0.0,0.0,0,0,255.0,GAS,0,1280.0,3.0,3.7113030557585773
12875,450000.0,HOUSE,HOUSE,Hasselt,2017.0,242.0,3.0,0,1,0.0,0.0,0,1,86.0,GAS,1,196.0,3.0,5.0
12876,985000.0,APARTMENT,APARTMENT,Brugge,2000.0,85.0,2.0,0,0,0.0,0.0,0,1,180.0,GAS,1,944.0,3.7735881768330124,4.0
12878,360000.0,HOUSE,HOUSE,Arlon,1962.0,180.0,2.0,0,0,50.0,0.0,0,0,411.0,FUELOIL,1,977.0,3.5579269813228778,4.074979694936999
12879,995000.0,APARTMENT,LOFT,Aalst,1969.0,980.0,4.0,0,0,145.0,0.0,0,0,119.0,GAS,1,2380.0,5.0,5.08376408026907
12880,409000.0,APARTMENT,DUPLEX,Leuven,2006.0,124.0,3.0,0,0,0.0,0.0,0,0,107.0,GAS,1,1059.0,3.555739727402246,4.0
12881,245000.0,APARTMENT,APARTMENT,Veurne,1960.0,65.0,2.0,0,0,0.0,0.0,0,0,93.0,ELECTRIC,1,1.0,3.500960765404252,4.026983383888667
12882,335000.0,APARTMENT,APARTMENT,Veurne,2019.0,95.0,2.0,0,0,11.0,0.0,0,0,70.0,GAS,1,1186.1960066808665,3.527774479416628,4.0
12883,245000.0,APARTMENT,APARTMENT,Antwerp,2014.0,65.0,2.0,0,0,29.0,0.0,0,0,120.0,GAS,1,1061.6467353241821,3.501033213898443,4.026487147462505
12884,360000.0,APARTMENT,APARTMENT,Brussels,1965.0,98.0,2.0,0,0,0.0,0.0,0,0,163.0,GAS,1,1220.7930265295247,5.0,3.0
12885,329000.0,HOUSE,HOUSE,Leuven,1965.0,174.0,5.0,0,0,0.0,160.0,0,1,343.0,GAS,1,1177.8927219216919,3.0,4.0
12886,339000.0,HOUSE,HOUSE,Hasselt,1965.0,179.0,4.0,0,1,0.0,0.0,0,1,281.0,GAS,1,986.0,3.0,4.0
12887,309000.0,APARTMENT,APARTMENT,Brussels,1958.0,120.0,3.0,0,0,10.0,0.0,0,0,248.0,GAS,1,1541.0,5.0,4.0
12888,385000.0,APARTMENT,APARTMENT,Brugge,1964.0,36.0,1.0,0,0,0.0,0.0,0,0,0.0,GAS,0,1255.3900463214109,3.570315858682915,4.085384121661037
12890,275000.0,HOUSE,APARTMENT_BLOCK,Tournai,1850.0,500.0,6.0,0,1,0.0,0.0,0,0,226.0,GAS,1,1534.0,3.5159061965066565,4.038896495072722
12891,299000.0,HOUSE,HOUSE,Aalst,1930.0,125.0,3.0,0,0,16.0,0.0,0,0,201.0,GAS,1,220.0,3.0,5.0
12892,275000.0,HOUSE,HOUSE,Hasselt,1961.0,211.0,2.0,0,0,0.0,0.0,0,1,586.0,FUELOIL,1,852.0,5.0,4.994782511655766
12893,450000.0,APARTMENT,APARTMENT,Halle-Vilvoorde,2022.0,120.0,3.0,0,0,19.0,0.0,0,1,49.0,GAS,1,1345.3422978205294,5.0,6.0
12894,459000.0,HOUSE,HOUSE,Mechelen,1969.0,226.0,4.0,0,1,0.0,0.0,0,0,429.0,GAS,1,1357.7972249874529,4.0,4.369973465783651
12895,750000.0,APARTMENT,APARTMENT,Brugge,1989.0,87.0,3.0,0,0,2.0,0.0,0,1,200.0,GAS,0,1760.506535707043,3.7509456111567174,4.238936947250069
12896,349000.0,APARTMENT,APARTMENT,Brugge,2005.0,75.0,2.0,0,0,0.0,0.0,0,1,97.0,GAS,0,1205.5703377792663,3.552500321452622,4.070239185438558
12897,325000.0,APARTMENT,DUPLEX,Halle-Vilvoorde,2007.0,95.0,2.0,0,0,40.0,0.0,0,1,403.0,ELECTRIC,1,1021.0,5.0,6.0
12898,375000.0,APARTMENT,APARTMENT,Brugge,2024.0,122.0,2.0,0,0,0.0,0.0,0,0,0.0,GAS,0,1241.5512383930372,3.5653670983411674,4.081177194932572
12899,479000.0,HOUSE,HOUSE,Hasselt,2010.0,179.0,5.0,0,0,25.0,0.0,0,0,128.0,GAS,1,998.0,3.582205068376764,4.0
12900,995000.0,HOUSE,MIXED_USE_BUILDING,Antwerp,1972.0,619.0,5.0,0,1,60.0,0.0,0,0,172.0,GAS,1,6659.0,3.0,4.0
12901,530000.0,HOUSE,APARTMENT_BLOCK,Brussels,1905.0,264.0,6.0,0,1,0.0,0.0,0,1,364.0,GAS,1,1496.0,3.642076718938333,4.146369870719371
12902,215000.0,APARTMENT,APARTMENT,Nivelles,1969.0,117.0,3.0,0,1,3.0,0.0,0,0,410.0,GAS,1,1179.0,4.0,4.0
12903,420000.0,HOUSE,TOWN_HOUSE,Halle-Vilvoorde,1978.0,221.0,3.0,0,0,7.0,0.0,0,1,113.0,GAS,1,1497.0,4.0,4.0
